case,actuation_pattern,del_x,del_y,del_z,del_qx,del_qy,del_qz,del_qw
1,"(1, 0, 0, 0)",-0.028681353,-0.066863231,0.023963809,-0.168735996,0.001617058,0.011268795,-0.035725832
1,"(1, 0, 0, 0)",-0.027411312,-0.113619201,0.052024007,-0.302693799,-0.020763198,0.024891853,-0.086821318
1,"(1, 0, 0, 0)",0.001622408,-0.017262913,0.005318523,-0.069075942,-0.016320588,0.001591772,-0.01150626
1,"(1, 0, 0, 0)",0.015254996,0.080692429,-0.004794001,0.223801859,-0.006589677,0.000814796,0.004845857
1,"(1, 0, 0, 0)",0.034757107,0.073375896,-0.004911542,0.224534631,-0.023351886,-0.000252604,0.004480958
1,"(1, 0, 0, 0)",0.017720438,0.042366647,-0.007359743,0.131225721,-0.020786036,-5.05E-05,0.009081661
1,"(1, 0, 0, 0)",-0.014424615,-0.043141208,0.015125633,-0.125280902,-0.004329552,0.00609234,-0.024009347
1,"(1, 0, 0, 0)",-0.026169479,-0.111293055,0.049524069,-0.286124155,-0.021825665,0.019225597,-0.080333591
1,"(1, 0, 0, 0)",-0.025635317,-0.11219313,0.050769091,-0.297671244,-0.023151355,0.021771938,-0.085226596
1,"(1, 0, 0, 0)",-0.010582805,-0.041689001,0.014784098,-0.144989595,-0.011008863,0.005569249,-0.029766739
1,"(1, 0, 0, 0)",0.01713483,0.052793011,-0.00696969,0.171796277,-0.02187663,-0.000461638,0.008106947
1,"(1, 0, 0, 0)",0.02909027,0.044163909,-0.007547736,0.135986659,-0.031855585,0.000172228,0.009005487
1,"(1, 0, 0, 0)",-0.013397083,-0.113896511,0.050545693,-0.296545312,-0.042253941,0.019043863,-0.085835994
1,"(1, 0, 0, 0)",-0.0328319,-0.119829841,0.055799842,-0.317794785,-0.014480641,0.026084125,-0.094189346
1,"(1, 0, 0, 0)",-0.034488954,-0.086088933,0.039461017,-0.270086363,0.002777007,0.020210251,-0.072732389
1,"(1, 0, 0, 0)",0.038451433,0.071682323,-0.006664633,0.187637504,-0.036033038,-0.000360727,0.007135927
1,"(1, 0, 0, 0)",0.022109463,0.053263903,-0.007529378,0.157626852,-0.025988586,0.000472218,0.008823394
1,"(1, 0, 0, 0)",-0.011897847,-0.03552673,0.007173539,-0.05939427,-0.000668593,0.000299484,-0.009979546
1,"(1, 0, 0, 0)",-0.018281289,-0.099133052,0.044533253,-0.281792209,-0.028706216,0.017428309,-0.078870654
1,"(1, 0, 0, 0)",-0.020881817,-0.108635224,0.049354196,-0.298481152,-0.02757693,0.020167515,-0.086137176
2,"(0, 1, 0, 0)",0.000198945,0.000671212,0.001101017,0.003003024,-0.002428705,-0.007931173,-0.002389968
2,"(0, 1, 0, 0)",0.000189483,0.003966112,0.000862479,0.018412318,-0.001870211,0.010929435,0.002052903
2,"(0, 1, 0, 0)",-0.004480034,0.100476031,0.026666641,0.254828364,0.06859288,0.013534784,-0.042467773
2,"(0, 1, 0, 0)",0.016531422,0.179822773,0.077267766,0.469131559,0.089777674,0.038506865,-0.13510859
2,"(0, 1, 0, 0)",0.014662712,0.191780583,0.086360097,0.495018631,0.097119536,0.044095486,-0.150697172
2,"(0, 1, 0, 0)",0.013773337,0.158698038,0.066462874,0.457326949,0.083434205,0.03757593,-0.127689004
2,"(0, 1, 0, 0)",0.01047188,-0.006338574,0.000631571,-0.01566151,-0.009885645,0.000942707,0.000567317
2,"(0, 1, 0, 0)",-0.029836886,-0.032857246,0.003160954,-0.081849366,0.024424629,-0.003074289,-0.001171768
2,"(0, 1, 0, 0)",-0.002988339,0.109516934,0.031876802,0.2900998,0.080231402,0.015237152,-0.054743707
2,"(0, 1, 0, 0)",0.032560497,0.186621517,0.087520838,0.507202417,0.069563731,0.042781248,-0.156736195
2,"(0, 1, 0, 0)",0.039890065,0.198216424,0.094423294,0.529588491,0.062306948,0.047643318,-0.170460701
2,"(0, 1, 0, 0)",0.019416317,0.167059035,0.072537422,0.487661272,0.077743318,0.041893527,-0.144736529
2,"(0, 1, 0, 0)",-0.007281952,0.006714792,0.002244115,0.043857366,0.014580037,-0.000395984,-0.002742172
2,"(0, 1, 0, 0)",-0.033692502,-0.084685608,0.010928154,-0.182983518,0.01824857,0.002327114,-0.009646833
2,"(0, 1, 0, 0)",-0.011439942,-0.034613095,0.004732609,-0.126146302,0.012354784,-0.001354933,-0.003683806
2,"(0, 1, 0, 0)",-0.020083607,0.100566816,0.029942989,0.274840504,0.109324243,0.0200295,-0.050716579
2,"(0, 1, 0, 0)",0.029303223,0.173720003,0.079402566,0.49251166,0.06817523,0.039253696,-0.147886634
2,"(0, 1, 0, 0)",0.043777764,0.168463111,0.077890515,0.494163424,0.04235406,0.042110577,-0.146796465
2,"(0, 1, 0, 0)",0.000385284,0.044351902,0.010188937,0.155913964,0.032353347,0.003067881,-0.018133462
2,"(0, 1, 0, 0)",-0.064915434,-0.104108363,0.021883488,-0.262703895,0.048563439,0.007130563,-0.024641097
2,"(0, 1, 0, 0)",-0.017324433,-0.064906269,0.010545015,-0.209045872,0.010022515,0.001495212,-0.014209152
2,"(0, 1, 0, 0)",0.028427645,0.029804443,0.00340569,0.067483537,-0.015563807,0.001426488,-0.004917085
2,"(0, 1, 0, 0)",0.007809117,0.148115874,0.067861676,0.460267425,0.09353796,0.035616412,-0.130908728
3,"(0, 0, 1, 0)",0.034338161,-0.005511589,0.023865819,-0.00363921,-0.108455003,0.014479994,-0.04319805
3,"(0, 0, 1, 0)",-0.000960961,0.003607947,0.008533835,0.004682422,-0.064673394,0.012622729,-0.023217917
3,"(0, 0, 1, 0)",-0.051042602,0.013869349,-0.023382545,-0.003205605,0.127619236,-0.009367556,0.03475815
3,"(0, 0, 1, 0)",-0.179309808,0.04018992,-0.034284234,-0.036388486,0.460500598,-0.015466005,0.048017025
3,"(0, 0, 1, 0)",-0.166842781,0.036714859,-0.035442949,-0.034171399,0.451777801,-0.015432626,0.049101173
3,"(0, 0, 1, 0)",-0.037387103,0.011813711,-0.018461228,0.00111204,0.099385127,-0.007659704,0.028370738
3,"(0, 0, 1, 0)",0.013888076,-0.00259918,0.015711427,-0.004050135,-0.089778304,0.014272675,-0.03392762
3,"(0, 0, 1, 0)",0.014323488,-0.002637364,0.014981866,-0.00444847,-0.090142727,0.013926282,-0.034175814
3,"(0, 0, 1, 0)",-0.01007101,0.003974184,-0.002105475,0.005740058,-0.009675086,0.0047836,-0.002658725
3,"(0, 0, 1, 0)",-0.090870709,0.021187704,-0.033967972,-0.011734594,0.231317647,-0.014329762,0.050588071
3,"(0, 0, 1, 0)",-0.139728979,0.027502388,-0.039724827,-0.033360397,0.367535308,-0.019226253,0.054747581
3,"(0, 0, 1, 0)",-0.171765104,0.0344973,-0.035925627,-0.039498307,0.4404549,-0.015611083,0.050504446
3,"(0, 0, 1, 0)",-0.029926986,0.013329722,-0.015125036,0.004875295,0.079755962,-0.005720497,0.023545682
3,"(0, 0, 1, 0)",0.022258058,-0.003270373,0.020600557,-0.005918734,-0.106623411,0.011853724,-0.04286021
3,"(0, 0, 1, 0)",0.003213301,-0.002145402,0.010846138,-0.006299965,-0.079289675,0.012822866,-0.029186428
3,"(0, 0, 1, 0)",-0.018449232,0.003756851,-0.00762713,-0.000766482,0.01938045,-0.001775325,0.00643903
3,"(0, 0, 1, 0)",-0.153704234,0.028990392,-0.03884399,-0.037230359,0.3952506,-0.017656178,0.053884923
3,"(0, 0, 1, 0)",-0.161370628,0.033623032,-0.037540794,-0.03686811,0.420028105,-0.017047912,0.052120685
3,"(0, 0, 1, 0)",-0.025675163,0.010902066,-0.012661576,0.002708376,0.062112003,-0.005366773,0.018801391
4,"(0, 0, 0, 1)",0.000185549,-0.001135457,-0.00044334,0.001383595,0.006541736,0.000368297,0.000221133
4,"(0, 0, 0, 1)",-0.181620769,0.03000727,0.062762498,-0.040621134,0.529803339,0.033288136,-0.127120436
4,"(0, 0, 0, 1)",0.013087779,-0.008438993,0.001980543,-0.005365025,-0.040201757,0.001094728,-0.001578451
4,"(0, 0, 0, 1)",-0.102151375,0.012087857,0.016496181,-0.026026577,0.290385011,0.01257959,-0.030412913
4,"(0, 0, 0, 1)",-0.163215345,0.024308377,0.047838568,-0.043911599,0.471937094,0.032315448,-0.095377446
4,"(0, 0, 0, 1)",0.020170674,-0.003776971,0.002438783,0.006048378,-0.058335614,0.001630038,-0.003558874
4,"(0, 0, 0, 1)",-0.06298729,0.008634683,0.003774166,-0.01429072,0.176737848,0.003222197,-0.008985281
4,"(0, 0, 0, 1)",-0.129899377,0.022055155,0.02536714,-0.015567604,0.353278551,0.020931095,-0.048274517
4,"(0, 0, 0, 1)",0.018572494,-0.005685777,0.004510522,0.000937801,-0.073122364,0.002761364,-0.004452765
4,"(0, 0, 0, 1)",-0.038599856,0.010427385,-0.001764775,0.00412339,0.101354066,0.002041995,-0.001693607
4,"(0, 0, 0, 1)",-0.12177095,0.023466399,0.025174379,-0.012297466,0.341687057,0.01418513,-0.046265245
5,"(1, 0, 1, 0)",0.007335893,0.019202292,-0.008648396,0.02330935,-0.006185494,-0.006674588,0.008432687
5,"(1, 0, 1, 0)",0.172123313,0.08354564,-0.00521493,0.310815401,-0.346299969,-0.006855071,0.020000637
5,"(1, 0, 1, 0)",0.150374636,0.089754358,-0.013279319,0.345828693,-0.345598213,0.002695441,0.025911808
5,"(1, 0, 1, 0)",-0.00107947,0.074081026,-0.035047054,0.191662103,0.032949228,-0.014840991,0.05986768
5,"(1, 0, 1, 0)",-0.019869291,0.100939818,-0.034188032,0.26462014,0.159892298,-0.010720611,0.060771942
5,"(1, 0, 1, 0)",-0.010561511,0.134104535,-0.03711462,0.294659666,0.145920642,-0.008551747,0.067698896
